"country","MinimumDrivingAge","MinimumDrivingAgeAdditionalDetails"
"India",18,
"China",18,
"Indonesia",17,
"Pakistan",18,
"Nigeria",18,
"Brazil",18,
"Bangladesh",18,
"Mexico",18,"You can drive a car at 15 with parental surpervision and at 16 with parental consent, otherwise 18 is the minimum age"
"Japan",18,
"Philippines",18,"Student permit from 17\r"
"Egypt",18,
"Vietnam",18,
"Turkey",18,
"Germany",18,"From 17 with supervision\r"
"Thailand",18,
"Tanzania",18,
"United Kingdom",17,
"France",18,
"South Africa",18,"A full driving license will only be issued from 18 years old, however a learners license can be applied for at 17"
"Italy",18,"From 17 with supervision"
"Kenya",18,
"Colombia",16,
"South Korea",18,
"Uganda",18,
"Spain",18,
"Algeria",18,
"Argentina",18,
"Poland",18,
"Canada",16,"Varies by province, as young as 14 in Alberta"
"Morocco",18,
"Ukraine",18,
"Angola",18,
"Saudi Arabia",18,"Learners permit from 17 - women allowed to drive in Saudi Arabia from 2018"
"Yemen",18,
"Mozambique",18,
"Ghana",21,
"Peru",18,
"Malaysia",17,
"Venezuela",18,
"Cameroon",16,
"Australia",16,"Learner driver min age set by state, ACT min driving age 15 years 9 months"
"Syria",18,
"Mali",18,
"Taiwan",18,
"Sri Lanka",18,
"Malawi",18,
"Zambia",16,
"Chile",18,"18 without parental approval\r"
"Romania",18,
"Ecuador",18,
"Guatemala",16,"18 without parental approval\r"
"Senegal",18,
"Netherlands",18,"Learners permit available from 16.5 years old"
"Cambodia",18,
"Zimbabwe",16,
"Bolivia",18,
"Tunisia",18,
"Haiti",18,
"Belgium",18,
"Dominican Republic",16,
"Jordan",18,
"Honduras",18,
"Sweden",18,"From 16 with supervision\r"
"Papua New Guinea",18,
"Czech Republic",18,
"Azerbaijan",18,
"Greece",18,
"Portugal",18,
"Hungary",17,
"Belarus",18,
"Israel",17,
"Togo",18,
"Austria",18,"Special training from 17"
"Switzerland",18,
"Laos",18,
"Hong Kong",18,
"Nicaragua",18,
"Serbia",18,"From 17 with supervision\r"
"Paraguay",18,
"Bulgaria",18,
"El Salvador",15,
"Republic of the Congo",18,
"Singapore",18,
"Denmark",18,"From 17 with supervision"
"Slovakia",18,"From 17 with supervision\r"
"Finland",18,
"Norway",18,
"New Zealand",17.5,"From 16 with supervision"
"Costa Rica",18,
"Lebanon",18,
"Ireland",17,"16 for agricultural vehciles restricted to 45kph\r"
"Oman",18,
"Panama",16,"18 without parental approval\r"
"Kuwait",18,
"Croatia",18,
"Georgia",18,
"Uruguay",18,
"Moldova",18,
"Puerto Rico",18,"Learners permit from 16\r"
"Bosnia and Herzegovina",18,
"Albania",18,
"Jamaica",18,
"Qatar",18,
"Botswana",18,
"Lithuania",18,
"Namibia",18,
"Gabon",18,
"Lesotho",18,
"Slovenia",18,"From 16 with supervision\r"
"North Macedonia",18,"From 16 with supervision\r"
"Latvia",18,
"Trinidad and Tobago",17,
"Bahrain",18,
"Estonia",18,"From 16 with supervision"
"Mauritius",18,
"Cyprus",17,
"Fiji",17,
"Luxembourg",17,"From 17 with supervision\r"
"Montenegro",18,
"Malta",18,
"Belize",18,
"Bahamas",17,
"Guadeloupe",18,
"Iceland",18,"From 16 with supervision"
"Vanuatu",23,
"New Caledonia",17,
"Barbados",16,
"Samoa",18,
"Saint Lucia",18,
"Guam",15,
"Seychelles",18,
"Andorra",18,
"Dominica",18,
"Greenland",17,